Date,Time,Age,ISBN,Title,Authors,Line Type,Sale/Order ID,Condition,Section,Location,Binding,Publisher,Source,Event,Quantity,Unit,Credit Used,Discount,Extended,Cost,Credit,Cash,Store Rem.,Chain Rem.,On Order,Sale Type,Register,Barcode,Customer
2026-02-01,9:07 PM,2 days,9781952897115,Flee,"Walds, Calvin",Sale,21131,New,Poetry,Floor,Trade Paperback,Split/Lip Press,Ingram Book Company,,1,$12.00,$0.00,$0.00,$12.00,$9.00,$9.00,$0.00,0,0,0,Sale,CashDrawer1,9789910190384,
2026-02-01,9:07 PM,30 days,9781733038430,Transverse,"Choi, Lindsay",Sale,21131,New,Poetry,Floor,Trade Paperback,Futurepoem,Asterism Books,,1,$19.00,$0.00,$0.00,$19.00,$9.61,$9.61,$0.00,0,0,0,Sale,CashDrawer1,9789910188862,
2026-02-01,9:07 PM,2 days,9798899750212,Streetlamp Nautilus,"Batsios, Catharine",Sale,21131,New,Poetry,Floor,Trade Paperback,Luchador Press,Ingram Book Company,,1,$13.00,$0.00,$0.00,$13.00,$7.80,$7.80,$0.00,1,1,0,Sale,CashDrawer1,9789910190407,
2026-02-01,9:07 PM,24 days,9781937658939,Invasive Species,"Helal, Marwa",Sale,21131,New,Poetry,Floor,Trade Paperback,Nightboat Books,Ingram Book Company,,1,$16.95,$0.00,$0.00,$16.95,$9.15,$9.15,$0.00,2,2,0,Sale,CashDrawer1,9789910189289,
2026-02-01,9:07 PM,30 days,9781954218192,DOCUMENT SHREDDING MUSEUM,"Malna, Afrizal",Sale,21131,New,Poetry,Floor,Trade Paperback,World Poetry,Asterism Books,,1,$20.00,$0.00,$0.00,$20.00,$11.04,$11.04,$0.00,1,1,0,Sale,CashDrawer1,9789910188770,
2026-02-01,9:07 PM,22 days,9780593201671,Arsenic and Adobo,"Manansala, Mia P",Sale,21131,New,Fiction,Floor,Trade Paperback,Berkley Books,Ingram Book Company,,1,$18.00,$0.00,$0.00,$18.00,$10.44,$10.44,$0.00,0,0,0,Sale,CashDrawer1,9789910189555,
2026-02-01,9:07 PM,514 days,9798987589014,An Arbitrary Formation of Unspecified Value,"Quartararo, Jennifer",Sale,21131,New,Essays,Floor,Trade Paperback,BUNNY,Bunny Presse,,1,$17.00,$0.00,$0.00,$17.00,$10.20,$10.20,$0.00,3,3,0,Sale,CashDrawer1,9789910168574,
2026-02-01,9:07 PM,24 days,9781643621425,Ante body,"Helal, Marwa",Sale,21131,New,Poetry,Floor,Trade Paperback,Nightboat Books,Ingram Book Company,,1,$16.95,$0.00,$0.00,$16.95,$9.15,$9.15,$0.00,1,1,0,Sale,CashDrawer1,9789910189227,
2026-02-01,9:07 PM,2 days,9781952897115,Flee,"Walds, Calvin",Sale,21131,New,Poetry,Floor,Trade Paperback,Split/Lip Press,Ingram Book Company,,1,$12.00,$0.00,$0.00,$12.00,$9.00,$9.00,$0.00,0,0,0,Sale,CashDrawer1,9789910190384,
2026-02-01,9:07 PM,206 days,9781849355285,"Atoms Never Touch (Emergent Strategy, 10)","cárdenas, micha",Sale,21131,New,Science Fiction & Fantasy,Floor,Trade Paperback,AK Press,Ingram Book Company,,1,$16.00,$0.00,$0.00,$16.00,$8.64,$8.64,$0.00,0,0,0,Sale,CashDrawer1,9789910183591,
2026-02-01,9:07 PM,30 days,9798991148924,"Allow me to slip on something, a little more hypocycloid",,Sale,21131,New,Poetry,Floor,Novelty,,Asterism Books,,1,$25.00,$0.00,$0.00,$25.00,$13.80,$13.80,$0.00,0,0,0,Sale,CashDrawer1,9789910188848,
2026-02-01,9:07 PM,29 days,9780593382639,Our Skin: A First Conversation About Race (First Conversations),"Madison, Megan,Ralli, Jessica",Sale,21131,Used - Good,Children's,Floor,Board,Rise x Penguin Workshop, Book Suey,,1,$5.00,$0.00,$0.00,$5.00,$5.00,$5.00,$0.00,0,0,0,Sale,CashDrawer1,9789910078330,
2026-02-01,9:07 PM,"1,325 days",9780063061064,Let Me Be Frank: A Book About Women Who Dressed Like Men to Do Shit They Weren't Supposed to Do,"Dawson, Tracy",Sale,21131,New,Non-Fiction,Floor,Hardcover,Harper Design,Harper Collins,,1,$29.99,$0.00,$0.00,$29.99,$16.49,$16.49,$0.00,1,1,0,Sale,CashDrawer1,9789910105937,
2026-02-01,9:07 PM,"1,418 days",9781950774159,"How to Carry Water: Selected Poems of Lucille Clifton (American Poets Continuum Series, 180)","Clifton, Lucille",Sale,21131,New,Poetry,Floor,Trade Paperback,BOA Editions Ltd.,Ingram Book Company,,1,$20.00,$0.00,$0.00,$20.00,$10.80,$10.80,$0.00,1,1,0,Sale,CashDrawer1,9789910099793,
2026-02-01,9:07 PM,29 days,9781623177195,"Poetry as Spellcasting: Poems, Essays, and Prompts for Manifesting Liberation and Reclaiming Power","Beyer, Tamiko,Hemphill, Destiny,White, Lisbeth",Sale,21131,New,Poetry,Floor,Trade Paperback,North Atlantic Books,Ingram Book Company,,1,$18.95,$0.00,$0.00,$18.95,$12.57,$12.57,$0.00,0,0,0,Sale,CashDrawer1,9789910189050,
2026-02-01,9:07 PM,709 days,11219,Sweatshirt 2024 - with building,Book Suey,Sale,21131,New,Branded Merchandise,Floor,apparel,,,,1,$30.00,$0.00,$0.00,$30.00,$20.65,$0.00,$0.00,0,0,0,Sale,CashDrawer1,9789910155109,
2026-02-07,3:44 PM,"1,085 days",9780307356543,Brave New World,"Huxley, Aldous",Sale,21132,New,Fiction,Floor,Trade Paperback,Vintage Canada, Penguin Random House,,1,$13.95,$0.00,$0.00,$13.95,$6.98,$6.98,$0.00,0,0,0,Sale,CashDrawer1,9789910129759,Andrea Van Leeuwen
2026-02-07,3:50 PM,8 days,9798899750212,Streetlamp Nautilus,"Batsios, Catharine",Sale,21133,New,Poetry,Floor,Trade Paperback,Luchador Press,Ingram Book Company,,1,$13.00,$0.00,$1.30,$11.70,$7.80,$7.80,$0.00,1,1,0,Sale,CashDrawer1,9789910190407,Ryan Pettey
2026-02-07,3:50 PM,429 days,281BVP1000818,The Poetics Lab 2024 Volume IV,,Sale,21133,New,Fiction,Floor,Trade Paperback,,Dom Witten,,1,$22.00,$0.00,$2.20,$19.80,$17.60,$17.60,$0.00,1,1,0,Sale,CashDrawer1,9789910173967,Ryan Pettey
2026-02-07,3:50 PM,135 days,9798888900970,Map of My Want,"Hicks, Faylita",Sale,21133,New,Poetry,Floor,Trade Paperback,Haymarket Books,Ingram Book Company,,1,$17.00,$0.00,$1.70,$15.30,$10.20,$10.20,$0.00,1,1,0,Sale,CashDrawer1,9789910185526,Ryan Pettey
2026-02-07,3:50 PM,511 days,9781943977109,The Dozen,"Rocheteau, Casey",Sale,21133,New,Poetry,Floor,Trade Paperback,"Sibling Rivalry Press, LLC",Ingram Book Company,,1,$16.95,$0.00,$1.70,$15.25,$10.17,$10.17,$0.00,2,2,0,Sale,CashDrawer1,9789910168741,Ryan Pettey
2026-02-07,3:50 PM,142 days,9781963108248,Hardly Creatures: Poems,"Colgate, Rob Macaisa",Sale,21133,New,Poetry,Floor,Trade Paperback,Tin House Books,Ingram Book Company,,1,$16.99,$0.00,$1.70,$15.29,$10.19,$10.19,$0.00,1,1,0,Sale,CashDrawer1,9789910185267,Ryan Pettey
2026-02-07,3:50 PM,"1,974 days",11118,Community-Supporter Membership,,Sale,21133,New,Branded Merchandise,Floor,,,,,1,$25.00,$0.00,$0.00,$25.00,$11.50,$11.50,$0.00,0,0,0,Sale,CashDrawer1,9789910072826,Ryan Pettey
2026-02-07,3:52 PM,49 days,11242,Book Suey T-shirt 2025 Supply,,Sale,21134,New,Branded Merchandise,Floor,,,,,1,$20.00,$0.00,$20.00,$0.00,$0.00,$14.28,$0.00,30,30,0,Sale,CashDrawer1,9789910188664,Ryan Pettey
2026-02-07,3:59 PM,14 days,9780878427123,Michigan Rocks!: A Guide to Geologic Sites in the Great Lakes State,"Brandes, Paul",Sale,21135,New,Nature,Floor,Trade Paperback,Mountain Press Publishing Company,Ingram Book Company,,1,$22.00,$0.00,$0.00,$22.00,$13.20,$13.20,$0.00,0,0,0,Sale,CashDrawer1,9789910189951,
2026-02-07,3:59 PM,49 days,11243,Book Suey Sweat-shirt 2025 Supply,,Sale,21135,New,Branded Merchandise,Floor,,,,,1,$30.00,$0.00,$0.00,$30.00,$0.00,$17.00,$0.00,23,23,0,Sale,CashDrawer1,9789910188671,
2026-02-07,5:15 PM,283 days,9781953387301,I Will Die in a Foreign Land,"Pickhart, Kalani",Sale,21136,Used - Very Good,Fiction,Floor,Trade Paperback,Two Dollar Radio, Book Suey,,1,$9.48,$0.00,$0.95,$8.53,$9.48,$9.48,$0.00,2,2,0,Sale,CashDrawer1,9789910179532,Shadrick Wilson
2026-02-07,6:03 PM,94 days,9780553380958,Snow Crash,"Stephenson, Neal",Sale,21137,New,Science Fiction & Fantasy,Floor,Trade Paperback,Del Rey, Penguin Random House,,1,$20.00,$0.00,$5.00,$15.00,$10.00,$10.00,$0.00,0,0,0,Sale,CashDrawer1,9789910186684,Hari  Iyer
2026-02-07,6:03 PM,8 days,9798899750212,Streetlamp Nautilus,"Batsios, Catharine",Sale,21137,New,Poetry,Floor,Trade Paperback,Luchador Press,Ingram Book Company,,1,$13.00,$0.00,$3.25,$9.75,$7.80,$7.80,$0.00,1,1,0,Sale,CashDrawer1,9789910190407,Hari  Iyer
2026-02-07,6:04 PM,"1,330 days",9781568585987,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),"Kendi, Ibram X.",Sale,21138,New,Race & Ethnic Studies,Floor,Trade Paperback,Bold Type Books,  Hachette,,1,$19.99,$0.00,$0.00,$19.99,$10.79,$10.79,$0.00,0,0,0,Sale,CashDrawer1,9789910106972,
2026-02-07,8:10 PM,269 days,9781574232530,Heart First Into This Ruin: The Complete American Sonnets,"Coleman, Wanda",Sale,21139,New,Fiction,Floor,Hardcover,Black Sparrow Press,Ingram Book Company,,1,$22.95,$0.00,$2.30,$20.65,$12.39,$12.39,$0.00,1,1,0,Sale,CashDrawer1,9789910180545,Chris Schahfer
2026-02-07,8:22 PM,484 days,9783037784433,X-Ray Architecture,,Sale,21140,New,"Architecture, Design, Urban Studies",Floor,Hardcover,Lars Muller Publishers,Ingram Book Company,,1,$40.00,$0.00,$4.00,$36.00,$21.60,$21.60,$0.00,0,0,0,Sale,CashDrawer1,9789910170386,Simon Albaugh
2026-02-08,2:53 PM,29 days,9781400078776,Never Let Me Go,"Ishiguro, Kazuo",Sale,21141,New,Fiction,Floor,Trade Paperback,Vintage,Ingram Book Company,,1,$17.00,$0.00,$0.00,$17.00,$10.20,$10.20,$0.00,0,0,0,Sale,CashDrawer1,9789910189500,
2026-02-08,3:05 PM,14 days,9798888386095,Yelping the Tegmine,"Freeman, Cal",Sale,21142,New,Poetry,Floor,Trade Paperback,Finishing Line Press, Book Suey,,1,$17.99,$0.00,$0.00,$17.99,$17.99,$17.99,$0.00,3,3,0,Sale,CashDrawer1,9789910190117,
2026-02-08,3:05 PM,14 days,9781911335658,Fight Songs,"Freeman, Cal",Sale,21142,New,Poetry,Floor,Trade Paperback,Eyewear Publishing, Book Suey,,1,$14.99,$0.00,$0.00,$14.99,$14.99,$14.99,$0.00,0,0,0,Sale,CashDrawer1,9789910190124,
2026-02-08,3:08 PM,"1,975 days",11118,Community-Supporter Membership,,Sale,21143,New,Branded Merchandise,Floor,,,,,1,$25.00,$0.00,$0.00,$25.00,$11.50,$11.50,$0.00,0,0,0,Sale,CashDrawer1,9789910072826,
2026-02-08,3:23 PM,36 days,11250,TPL magnet,The Poetics Lab,Sale,21144,New,Branded Merchandise,Floor,magnet,,the Poetics Lab,,1,$3.00,$0.00,$0.00,$3.00,$1.50,$1.50,$0.00,23,23,0,Sale,CashDrawer1,9789910189135,Ethan Milner
2026-02-08,3:23 PM,36 days,11249,TPL sticker,The Poetics Lab,Sale,21144,New,Branded Merchandise,Floor,sticker,,the Poetics Lab,,1,$2.00,$0.00,$0.00,$2.00,$1.00,$1.00,$0.00,47,47,0,Sale,CashDrawer1,9789910189128,Ethan Milner
2026-02-08,3:25 PM,36 days,9780997366648,Complete Stories of Leonora Carrington,"Carrington, Leonora",Sale,21145,New,Fiction,Floor,Trade Paperback,Dorothy a Publishing Project,Ingram Book Company,,1,$18.00,$0.00,$0.00,$18.00,$10.80,$10.80,$0.00,0,0,0,Sale,CashDrawer1,9789910188992,
2026-02-08,3:25 PM,524 days,9781566895453,I Hotel,"Yamashita, Karen Tei",Sale,21145,New,Fiction,Floor,Trade Paperback,Coffee House Press,Ingram Book Company,,1,$21.95,$0.00,$0.00,$21.95,$11.85,$11.85,$0.00,0,0,0,Sale,CashDrawer1,9789910168505,
2026-02-08,3:25 PM,"1,229 days",281BVP1000556,Ponyride,"Abbey-Lambertz Kate, Bordine Kate, Kaherl Amy, Morrison Noah",Sale,21145,Used - Good,Children's,Floor,Trade Paperback,Ponyride, Book Suey,,1,$5.00,$0.00,$0.00,$5.00,$0.00,$0.00,$0.00,0,0,0,Sale,CashDrawer1,9789910119705,
2026-02-08,3:38 PM,31 days,9781890650650,Ventifacts,"Hume, Christine",Sale,21146,New,Essays,Floor,Trade Paperback,Omnidawn,Ingram Book Company,,1,$11.95,$0.00,$0.00,$11.95,$7.17,$7.17,$0.00,0,0,0,Sale,CashDrawer1,9789910189319,
2026-02-08,3:56 PM,141 days,9780063422711,Collected Poems of J.R.R. Tolkien Box Set: Three-Volume Box Set,"Tolkien, J R R",Sale,21147,New,Fiction,Archive,Hardcover,William Morrow  & Company, Book Suey,,1,$35.00,$0.00,$0.00,$35.00,$35.00,$35.00,$0.00,0,0,0,Sale,CashDrawer1,9789910185403,
2026-02-08,3:56 PM,"1,593 days",9781590309841,The Book of Five Rings,"Musashi, Miyamoto",Sale,21147,New,Non-Fiction,Floor,Hardcover,Shambhala,Ingram Book Company,,1,$19.95,$0.00,$0.00,$19.95,$11.97,$11.97,$0.00,0,0,0,Sale,CashDrawer1,9789910085253,
2026-02-08,6:50 PM,115 days,9781644450109,Homie: Poems,"Smith, Danez",Sale,21148,New,Poetry,Floor,Trade Paperback,Graywolf Press,Ingram Book Company,,1,$16.00,$0.00,$0.00,$16.00,$9.60,$9.60,$0.00,0,0,0,Sale,CashDrawer1,9789910185762,
2026-02-08,6:50 PM,37 days,9781733137522,Wifthing,"McCarthy, Patty",Sale,21148,New,Poetry,Floor,Trade Paperback,Apogee Press,Asterism Books,,1,$18.95,$0.00,$0.00,$18.95,$10.46,$10.46,$0.00,0,0,0,Sale,CashDrawer1,9789910188831,
2026-02-08,6:50 PM,8 days,281BVP1000828,Blood Bath,Christine Kanownik,Sale,21148,New,Poetry,Floor,Trade Paperback,cul-du-sac of blood,Christine Kanownik,,1,$8.00,$0.00,$0.00,$8.00,$6.40,$6.40,$0.00,0,0,0,Sale,CashDrawer1,9789910190735,
2026-02-12,8:49 PM,96 days,9781945492754,Septology,"Fosse, Jon",Sale,21149,New,Fiction,Floor,Trade Paperback,Transit Books,Ingram Book Company,,1,$22.95,$0.00,$5.74,$17.21,$12.39,$12.39,$0.00,0,0,0,Sale,CashDrawer1,9789910187254,Elijah Sparkman
2026-02-14,2:41 PM,142 days,9781560252481,Requiem for a Dream,"Selby, Hubert",Sale,21150,New,Fiction,Floor,Trade Paperback,Da Capo Press,Ingram Book Company,,1,$21.99,$0.00,$0.00,$21.99,$13.19,$13.19,$0.00,1,1,0,Sale,CashDrawer1,9789910185458,
2026-02-14,2:53 PM,581 days,9780804173728,Absolutely on Music: Conversations (Vintage International),"Murakami, Haruki,Ozawa, Seiji",Sale,21151,New,Non-Fiction,Floor,Trade Paperback,Knopf Doubleday Publishing Group, Penguin Random House,,1,$18.00,$0.00,$0.00,$18.00,$9.00,$9.00,$0.00,0,0,0,Sale,CashDrawer1,9789910165801,
2026-02-14,4:08 PM,121 days,9780063240094,"World Keeps Ending, and the World Goes on","Choi, Franny",Sale,21152,New,Poetry,Floor,Trade Paperback,Ecco Press,Ingram Book Company,,1,$17.99,$0.00,$0.00,$17.99,$10.79,$10.79,$0.00,0,0,0,Sale,CashDrawer1,9789910185878,
2026-02-14,4:08 PM,491 days,9781566894869,Tropic of Orange,"Yamashita, Karen Tei",Sale,21152,New,Fiction,Floor,Trade Paperback,Coffee House Press,Ingram Book Company,,1,$18.00,$0.00,$0.00,$18.00,$9.72,$9.72,$0.00,0,0,0,Sale,CashDrawer1,9789910170409,
2026-02-14,4:42 PM,197 days,281BVP1000476,Discount - general $1,,Sale,21153,Used - Good,Non-Fiction,Floor,Unknown,,Elijah Sparkman,,1,$1.00,$0.00,$0.00,$1.00,$0.50,$0.50,$0.00,9,9,0,Sale,CashDrawer1,9789910095818,
2026-02-14,4:56 PM,37 days,9780375424144,Habibi,"Thompson, Craig",Sale,21154,Used - Very Good,Graphic Novels & Comics,Floor,Hardcover,Pantheon, Book Suey,,1,$10.00,$0.00,$1.50,$8.50,$10.00,$10.00,$0.00,0,0,0,Sale,CashDrawer1,9789910189487,
2026-02-14,4:56 PM,297 days,9781632369369,Saint Young Men Omnibus 1 (Vol. 1-2),"Nakamura, Hikaru",Sale,21154,New,Graphic Novels & Comics,Floor,Hardcover,Kodansha Comics, Penguin Random House,,1,$23.99,$0.00,$3.60,$20.39,$12.00,$12.00,$0.00,0,0,0,Sale,CashDrawer1,9789910179204,
2026-02-14,4:56 PM,"1,581 days",9781603094283,Come Again,"Powell, Nate",Sale,21154,Used - Very Good,Graphic Novels & Comics,Floor,Hardcover,Top Shelf Productions,Eric Anderson,,1,$15.00,$0.00,$2.25,$12.75,$7.50,$7.50,$0.00,1,1,0,Sale,CashDrawer1,9789910086984,
2026-02-14,4:56 PM,468 days,9781620107881,Delicates,"Thummler, Brenna",Sale,21154,New,Graphic Novels & Comics,Floor,Trade Paperback,Oni Press,Ingram Book Company,,1,$16.99,$0.00,$2.55,$14.44,$10.19,$10.19,$0.00,1,1,0,Sale,CashDrawer1,9789910172168,
2026-02-14,4:56 PM,468 days,9781637152317,Lights,"Thummler, Brenna",Sale,21154,New,Graphic Novels & Comics,Floor,Trade Paperback,Oni Press,Ingram Book Company,,1,$16.99,$0.00,$2.55,$14.44,$10.19,$10.19,$0.00,1,1,0,Sale,CashDrawer1,9789910172229,
2026-02-14,4:56 PM,"1,407 days",9781596436893,Saints (Boxers & Saints),"Yang, Gene Luen, Pien, Lark",Sale,21154,New,Graphic Novels & Comics,Floor,Trade Paperback,First Second,  Macmillan,,1,$15.99,$0.00,$2.40,$13.59,$7.99,$7.99,$0.00,0,0,0,Sale,CashDrawer1,9789910100888,
2026-02-14,4:56 PM,293 days,9780983854760,lowercase hell,"Rice, Gerald Dean",Sale,21154,New,Fiction,Floor,Trade Paperback,Redhand Books LLC,Gerald Rice,,1,$10.99,$0.00,$1.65,$9.34,$8.80,$8.80,$0.00,0,0,0,Sale,CashDrawer1,9789910179464,
2026-02-14,4:56 PM,"1,065 days",9781774880210,Who Owns the Clouds?,"Brassard, Mario",Sale,21154,New,Graphic Novels & Comics,Floor,Hardcover,Tundra Books, Penguin Random House,,1,$19.99,$0.00,$3.00,$16.99,$9.99,$9.99,$0.00,0,0,0,Sale,CashDrawer1,9789910131073,
2026-02-14,4:56 PM,798 days,9781632361974,Junji Ito's Cat Diary: Yon & Mu,"Ito, Junji",Sale,21154,Used - Like New,Graphic Novels & Comics,Floor,Trade Paperback,Kodansha Comics,Eric Anderson,,1,$5.50,$0.00,$0.83,$4.67,$1.40,$1.40,$0.00,0,0,0,Sale,CashDrawer1,9789910152122,
2026-02-14,4:56 PM,581 days,9780593237861,Spin a Black Yarn: Novellas,"Malerman, Josh",Sale,21154,New,Fiction,Floor,Trade Paperback,Del Rey, Penguin Random House,,1,$18.00,$0.00,$2.70,$15.30,$9.00,$9.00,$0.00,1,1,0,Sale,CashDrawer1,9789910165658,
2026-02-15,3:08 PM,36 days,9781536248227,Your Truck,"Klassen, Jon",Sale,21155,New,Children's,Floor,Board,Candlewick Press (MA),Ingram Book Company,,1,$8.99,$0.00,$0.00,$8.99,$5.39,$5.39,$0.00,0,0,0,Sale,CashDrawer1,9789910189494,
2026-02-15,3:18 PM,"1,185 days",9780006473114,The Thief of Always,"Barker, Clive",Sale,21156,New,Science Fiction & Fantasy,Floor,Mass Market Paperback,HarperCollins,Harper Collins,,1,$9.99,$0.00,$0.00,$9.99,$5.59,$5.59,$0.00,1,1,0,Sale,CashDrawer1,9789910122866,
2026-02-15,3:40 PM,276 days,9781324065852,Ghostroots: Stories,"Aguda, 'Pemi",Sale,21157,New,Fiction,Floor,Hardcover,W. W. Norton  & Company,Ingram Book Company,,1,$26.99,$0.00,$0.00,$26.99,$16.19,$16.19,$0.00,0,0,0,Sale,CashDrawer1,9789910180590,
2026-02-15,5:16 PM,101 days,9780312427733,Middlesex: A Novel (Oprah's Book Club),Jeffrey Eugenides,Sale,21158,New,Fiction,Floor,Trade Paperback,Picador,Ingram Book Company,,1,$20.00,$0.00,$0.00,$20.00,$12.00,$12.00,$0.00,1,1,0,Sale,CashDrawer1,9789910186943,
2026-02-15,5:16 PM,70 days,9781668051887,Unworthy,"Bazterrica, Agustina",Sale,21158,New,Fiction,Floor,Trade Paperback,Scribner Book Company,Ingram Book Company,,1,$18.99,$0.00,$0.00,$18.99,$11.39,$11.39,$0.00,0,0,0,Sale,CashDrawer1,9789910188329,
2026-02-15,5:16 PM,115 days,9781984802781,Stranger in a Strange Land,"Heinlein, Robert A",Sale,21158,New,Science Fiction & Fantasy,Floor,Mass Market Paperback,Ace Books,Ingram Book Company,,1,$10.99,$0.00,$0.00,$10.99,$6.59,$6.59,$0.00,0,0,0,Sale,CashDrawer1,9789910186295,
2026-02-15,5:16 PM,549 days,9781501125669,Heavy: An American Memoir,"Laymon, Kiese",Sale,21158,New,Memoir,Floor,Trade Paperback,Scribner,Ingram Book Company,,1,$16.00,$0.00,$0.00,$16.00,$9.60,$9.60,$0.00,0,0,0,Sale,CashDrawer1,9789910167263,
2026-02-15,5:16 PM,221 days,9780316452502,Children of Time,"Tchaikovsky, Adrian",Sale,21158,New,Science Fiction & Fantasy,Floor,Trade Paperback,Orbit,Ingram Book Company,,1,$19.99,$0.00,$0.00,$19.99,$11.99,$11.99,$0.00,0,0,0,Sale,CashDrawer1,9789910183201,
2026-02-15,5:16 PM,261 days,9781558613119,Reservoir Bitches: Stories,"Cerda, Dahlia de la",Sale,21158,New,Science Fiction & Fantasy,Floor,Trade Paperback,Feminist Press,Ingram Book Company,,1,$16.95,$0.00,$0.00,$16.95,$9.15,$9.15,$0.00,0,0,0,Sale,CashDrawer1,9789910181023,
2026-02-15,5:16 PM,0 days,281BVP1000957,Block Party Puzzles,Sala & Emily,Sale,21158,New,"Arts, Music & Film",Floor,New Trade,bnlock party, Book Suey,,1,$20.00,$0.00,$0.00,$20.00,$20.00,$20.00,$0.00,13,13,0,Sale,CashDrawer1,9789910188381,
2026-02-15,5:19 PM,222 days,9780307476463,1Q84 (Vintage International),"Murakami, Haruki",Sale,21159,New,Fiction,Floor,Trade Paperback,Vintage, Penguin Random House,,1,$22.00,$0.00,$0.00,$22.00,$11.00,$11.00,$0.00,0,0,0,Sale,CashDrawer1,9789910182655,
2026-02-15,5:19 PM,"2,503 days",9780143034759,Alexander Hamilton,"Chernow, Ron",Sale,21159,Used - Very Good,Biography,Floor,Trade Paperback,Penguin Books,Jan -Donation-,,1,$12.00,$0.00,$0.00,$12.00,$2.00,$2.00,$0.00,0,0,0,Sale,CashDrawer1,9789910051678,
2026-02-15,5:19 PM,38 days,9780679763888,The Warmth of Other Suns: The Epic Story of America's Great Migration,"Wilkerson, Isabel",Sale,21159,New,History,Floor,Trade Paperback,Vintage,Ingram Book Company,,1,$21.00,$0.00,$0.00,$21.00,$12.60,$12.60,$0.00,0,0,0,Sale,CashDrawer1,9789910189388,
2026-02-15,5:19 PM,596 days,281BVP1000780,Robinson Crusoe,"DeFoe, Daniel",Sale,21159,Used - Good,Fiction,Floor,Hardcover,, Book Suey,,1,$7.50,$0.00,$0.00,$7.50,$0.00,$0.00,$0.00,0,0,0,Sale,CashDrawer1,9789910163838,
